Ruta 47: Balasinesti → Briceni (22 km)
Stație;KM cumulativ;KM segment (de la stația precedentă)
Balasinesti;0;0
Beleavinți;6;6
Berlinet;6;0
Caracușenii Noi;15;9
Briceni;22;7
