# Localitățile Republicii Moldova cu raionul și coordonatele (Wikidata, 20.09.2026). name|district|lat|lon
Boșernița|Rezina|47.78417|28.98028
Buciușca|Rezina|47.63889|28.98694
Bușăuca|Rezina|47.59361|28.78861
Cinișeuți|Rezina|47.69556|28.85500
Ciorna|Rezina|47.76861|28.97611
Cogîlniceni|Rezina|47.63472|28.82250
Cuizăuca|Rezina|47.61444|28.81278
Echimăuți|Rezina|47.69417|28.90028
Ghiduleni|Rezina|47.61083|28.74472
Gordinești|Rezina|47.69667|28.80111
Horodiște|Rezina|47.61472|28.94306
Ignăței|Rezina|47.68250|28.66167
Lalova|Rezina|47.56389|29.01917
Lipceni|Rezina|47.80639|28.87028
Mateuți|Rezina|47.80917|28.93278
Meșeni|Rezina|47.66472|28.63806
Mincenii de Jos|Rezina|47.63333|28.88333
Mincenii de Sus|Rezina|47.64944|28.89389
Nistreni|Rezina|47.54111|29.01000
Otac|Rezina|47.58944|28.82972
Peciște|Rezina|47.71556|28.71083
Pereni|Rezina|47.65556|28.77667
Piscărești|Rezina|47.75917|28.81028
Pripiceni-Curchi|Rezina|47.68278|28.78361
Pripiceni-Răzeși|Rezina|47.68583|28.76306
Păpăuți|Rezina|47.79778|28.92333
Rezina|Rezina|47.74917|28.96222
Roșcani|Rezina|47.65389|28.74083
Roșcanii de Jos|Rezina|47.64667|28.73750
Roșcanii de Sus|Rezina|47.62889|28.76889
Răspopeni|Rezina|47.75000|28.61667
Saharna|Rezina|47.69361|28.97028
Saharna Nouă|Rezina|47.67583|28.95611
Slobozia-Horodiște|Rezina|47.59833|28.93556
Solonceni|Rezina|47.82833|29.00389
Stohnaia|Rezina|47.72778|28.96194
Sîrcova|Rezina|47.74139|28.78361
Tarasova|Rezina|47.87722|28.96361
Trifești|Rezina|47.67639|28.80278
Țahnăuți|Rezina|47.74111|28.86194
Țareuca|Rezina|47.75139|28.87833
Țipova|Rezina|47.60500|28.97944
Alcedar|Șoldănești|47.86806|28.87472
Chipeșca|Șoldănești|47.76222|28.60861
Climăuții de Jos|Șoldănești|47.95000|28.80000
Cobîlea|Șoldănești|47.86583|28.67139
Cot|Șoldănești|47.97889|28.77778
Cotiujenii Mari|Șoldănești|47.84361|28.55444
Curătura|Șoldănești|47.87833|28.91222
Cușelăuca|Șoldănești|47.87694|28.56083
Cușmirca|Șoldănești|47.90639|28.70528
Dobrușa|Șoldănești|47.78528|28.59389
Fuzăuca|Șoldănești|47.73333|28.75000
Glinjeni|Șoldănești|47.82194|28.87556
Găuzeni|Șoldănești|47.75444|28.56556
Lelina|Șoldănești|47.92500|28.74722
Mihuleni|Șoldănești|47.83056|28.83694
Odaia|Șoldănești|47.85667|28.84694
Olișcani|Șoldănești|47.79806|28.71500
Parcani|Șoldănești|47.81750|28.83694
Pohoarna|Șoldănești|47.83333|28.50000
Poiana|Șoldănești|47.88390|28.85640
Recești|Șoldănești|47.78639|28.56222
Rogojeni|Șoldănești|47.82528|28.41167
Răspopeni|Șoldănești|47.74556|28.62111
Salcia|Șoldănești|47.95056|28.73417
Socola|Șoldănești|47.90806|28.81333
Sămășcani|Șoldănești|47.75500|28.69667
Vadul-Rașcov|Șoldănești|47.93861|28.82694
Zahorna|Șoldănești|47.79667|28.55278
Șestaci|Șoldănești|47.86139|28.75417
Șipca|Șoldănești|47.84806|28.80611
Șoldănești|Șoldănești|47.81528|28.79667
Brăila|mun. Chișinău|46.91583|28.84306
Bubuieci|mun. Chișinău|46.98500|28.94222
Budești|mun. Chișinău|47.06528|29.00667
Buneți|mun. Chișinău|47.08028|28.91528
Bîc|mun. Chișinău|46.95889|28.93472
Băcioi|mun. Chișinău|46.91222|28.88389
Ceroborta|mun. Chișinău|47.10000|28.95000
Cheltuitori|mun. Chișinău|47.06556|28.92444
Chișinău|mun. Chișinău|47.02278|28.83528
Ciorescu|mun. Chișinău|47.13778|28.88556
Codru|mun. Chișinău|46.97528|28.81944
Colonița|mun. Chișinău|47.03778|28.95833
Condrița|mun. Chișinău|47.05667|28.56861
Cricova|mun. Chișinău|47.13889|28.86139
Cruzești|mun. Chișinău|47.08472|28.97361
Dobrogea|mun. Chișinău|46.88028|28.98917
Dumbrava|mun. Chișinău|47.04639|28.73694
Durlești|mun. Chișinău|47.01778|28.76250
Frumușica|mun. Chișinău|46.90111|28.89222
Făurești|mun. Chișinău|47.14722|28.89500
Ghidighici|mun. Chișinău|47.09306|28.76861
Goian|mun. Chișinău|47.13278|28.90778
Goianul Nou|mun. Chișinău|47.11750|28.90083
Grătiești|mun. Chișinău|47.09917|28.81667
Hulboaca|mun. Chișinău|47.11861|28.80111
Humulești|mun. Chișinău|46.99667|28.97556
Revaca|mun. Chișinău|46.90861|28.94472
Străisteni|mun. Chișinău|46.90722|28.86222
Stăuceni|mun. Chișinău|47.08750|28.87028
Sîngera|mun. Chișinău|46.91306|28.97750
Tohatin|mun. Chișinău|47.06250|28.94528
Trușeni|mun. Chișinău|47.06889|28.67972
Vadul lui Vodă|mun. Chișinău|47.09167|29.07556
Vatra|mun. Chișinău|47.07389|28.73500
Văduleni|mun. Chișinău|47.07000|29.08167
Bahmut|Călărași|47.32278|28.11417
Bahu|Călărași|47.42028|28.46500
Bravicea|Călărași|47.36694|28.43944
Buda|Călărași|47.20778|28.22167
Bularda|Călărași|47.35611|28.22111
Căbăiești|Călărași|47.21806|28.14722
Călărași|Călărași|47.25444|28.30806
Dereneu|Călărași|47.37944|28.24444
Duma|Călărași|47.39028|28.24222
Frumoasa|Călărași|47.32944|28.40194
Hirova|Călărași|47.41222|28.28417
Hoginești|Călărași|47.37444|28.32111
Horodiște|Călărași|47.20667|28.25583
Hîrbovăț|Călărași|47.33667|28.31222
Hîrjauca|Călărași|47.32694|28.22167
Leordoaia|Călărași|47.34417|28.14889
Meleșeni|Călărași|47.37556|28.38889
Mîndra|Călărași|47.31889|28.25861
Nișcani|Călărași|47.26806|28.34583
Novaci|Călărași|47.23611|28.26472
Onișcani|Călărași|47.37167|28.28111
Oricova|Călărași|47.29917|28.23361
Palanca|Călărași|47.33278|28.20250
Parcani|Călărași|47.29583|28.37306
Peticeni|Călărași|47.23611|28.20861
Pitușca|Călărași|47.23972|28.41972
Podul Lung|Călărași|47.26028|28.23889
Pîrjolteni|Călărași|47.20028|28.24306
Păulești|Călărași|47.26778|28.37222
Răciula|Călărași|47.30583|28.35389
Rădeni|Călărași|47.39611|28.21056
Sadova|Călărași|47.18917|28.35000
Schinoasa|Călărași|47.35750|28.34861
Seliștea Nouă|Călărași|47.23611|28.31222
Sipoteni|Călărași|47.27639|28.19833
Sverida|Călărași|47.35250|28.29139
Săseni|Călărași|47.36889|28.50056
Temeleuți|Călărași|47.24833|28.07833
Tuzara|Călărași|47.24167|28.30417
Ursari|Călărași|47.21528|28.19611
Vălcineț|Călărași|47.26306|28.13083
Vărzăreștii Noi|Călărași|47.23056|28.44417
Țibirica|Călărași|47.37306|28.37167
Anini|Hîncești|46.88917|28.46639
Bobeica|Hîncești|46.98500|28.46222
Boghiceni|Hîncești|46.94889|28.32528
Bozieni|Hîncești|46.75000|28.65000
Brătianovca|Hîncești|46.74056|28.46472
Bujor|Hîncești|46.92250|28.26833
Buțeni|Hîncești|46.82417|28.67500
Bălceana|Hîncești|46.84444|28.40472
Caracui|Hîncești|46.69861|28.54194
Chetroșeni|Hîncești|46.96306|28.27278
Cioara|Hîncești|46.73250|28.22472
Ciuciuleni|Hîncești|47.02167|28.41333
Cornești|Hîncești|46.99806|28.32944
Coroliovca|Hîncești|46.71083|28.47250
Costești|Hîncești|46.87333|28.20667
Cotul Morii|Hîncești|46.86972|28.11889
Crasnoarmeiscoe|Hîncești|46.82944|28.28222
Călmățui|Hîncești|46.78333|28.21528
Cărpineanca|Hîncești|46.69611|28.47250
Cărpineni|Hîncești|46.75972|28.35306
Cățeleni|Hîncești|46.91778|28.18944
Dahnovici|Hîncești|46.97639|28.48222
Dancu|Hîncești|46.76278|28.21000
Drăgușeni|Hîncești|46.98389|28.45028
Drăgușenii Noi|Hîncești|47.04444|28.42417
Dubovca|Hîncești|46.74861|28.60833
Feteasca|Hîncești|46.78778|28.19222
Frasin|Hîncești|46.89000|28.19500
Fundul Galbenei|Hîncești|46.88250|28.62306
Fîrlădeni|Hîncești|46.78750|28.68750
Horjești|Hîncești|46.71278|28.34944
Horodca|Hîncești|47.05611|28.46167
Hîncești|Hîncești|46.82583|28.59361
Ivanovca|Hîncești|46.87694|28.19639
Leușeni|Hîncești|46.80917|28.19944
Logănești|Hîncești|46.90389|28.54528
Lăpușna|Hîncești|46.88417|28.41194
Marchet|Hîncești|46.70806|28.23417
Mereșeni|Hîncești|46.79667|28.54167
Mingir|Hîncești|46.66667|28.32722
Mirești|Hîncești|46.96667|28.25000
Negrea|Hîncești|46.81139|28.39806
Nemțeni|Hîncești|46.90861|28.11806
Obileni|Hîncești|46.87861|28.16056
Onești|Hîncești|46.86028|28.25250
Pașcani|Hîncești|46.97694|28.36778
Pereni|Hîncești|47.00278|28.37361
Pervomaiscoe|Hîncești|46.88389|28.32306
Pogănești|Hîncești|46.69292|28.23109
Rusca|Hîncești|46.87611|28.47639
Secăreni|Hîncești|47.02528|28.33250
Secărenii Noi|Hîncești|47.01806|28.32944
Semionovca|Hîncești|46.69750|28.30444
Sofia|Hîncești|46.84111|28.38028
Stolniceni|Hîncești|46.96028|28.50000
Strîmbeni|Hîncești|46.86722|28.26500
Sărata-Galbenă|Hîncești|46.72750|28.51500
Sărata-Mereșeni|Hîncești|46.79889|28.50306
Sărăteni|Hîncești|46.85667|28.16861
Tălăiești|Hîncești|46.80028|28.26639
Valea Florii|Hîncești|46.71278|28.43861
Voinescu|Hîncești|46.64944|28.30167
Șipoteni|Hîncești|46.94250|28.45639
Alexandrovca|Ialoveni|46.72111|29.02611
Bardar|Ialoveni|46.90167|28.66806
Budăi|Ialoveni|46.81333|28.97417
Bălțați|Ialoveni|46.84167|28.95278
Cigîrleni|Ialoveni|46.86778|28.80222
Costești|Ialoveni|46.86778|28.80222
Cărbuna|Ialoveni|46.71222|28.95167
Dănceni|Ialoveni|46.77250|29.00611
Gangura|Ialoveni|46.73000|29.01306
Găureni|Ialoveni|46.82694|28.84361
Hansca|Ialoveni|46.77250|29.00611
Homuteanovca|Ialoveni|46.72500|29.05667
Horești|Ialoveni|46.82667|28.87194
Horodca|Ialoveni|47.04556|28.48944
Ialoveni|Ialoveni|46.94306|28.77778
Malcoci|Ialoveni|47.04556|28.48944
Mileștii Mici|Ialoveni|46.90084|28.79586
Mileștii Noi|Ialoveni|46.74556|28.96111
Misovca|Ialoveni|46.77250|29.00611
Molești|Ialoveni|46.78583|28.77806
Nimoreni|Ialoveni|47.01000|28.67000
Piatra Albă|Ialoveni|46.93194|28.81806
Pojăreni|Ialoveni|46.78583|28.77806
Puhoi|Ialoveni|46.78583|28.77806
Ruseștii Noi|Ialoveni|46.74556|28.96111
Ruseștii Vechi|Ialoveni|46.92056|28.62444
Răzeni|Ialoveni|46.76667|28.90000
Sociteni|Ialoveni|46.92056|28.62444
Suruceni|Ialoveni|46.98250|28.66861
Ulmu|Ialoveni|47.02611|28.59667
Văratic|Ialoveni|46.80944|29.06333
Văsieni|Ialoveni|46.96667|28.59139
Zîmbreni|Ialoveni|46.83572|28.84944
Țipala|Ialoveni|46.82778|28.97528
Boldurești|Nisporeni|47.02083|28.06361
Bolțun|Nisporeni|47.02583|28.28833
Brătuleni|Nisporeni|47.14250|27.97806
Bursuc|Nisporeni|47.09528|28.30306
Băcșeni|Nisporeni|47.08722|28.01583
Bălănești|Nisporeni|47.20361|28.06361
Bălăurești|Nisporeni|46.94250|28.13722
Bărboieni|Nisporeni|47.02083|28.06361
Chilișoaia|Nisporeni|47.11083|28.03083
Ciorești|Nisporeni|47.16528|28.22222
Ciutești|Nisporeni|47.17556|28.12333
Cristești|Nisporeni|47.05694|28.28611
Cîrnești|Nisporeni|47.14250|27.97806
Călimănești|Nisporeni|46.94333|28.19361
Drojdieni|Nisporeni|46.93778|28.22361
Grozești|Nisporeni|46.99861|28.07833
Găureni|Nisporeni|47.19722|28.08861
Heleșteni|Nisporeni|46.96139|28.18389
Isăicani|Nisporeni|47.07028|28.07250
Iurceni|Nisporeni|47.07917|28.26028
Luminița|Nisporeni|47.08083|28.07667
Marinici|Nisporeni|46.96889|28.17944
Milești|Nisporeni|47.21972|28.04028
Mîrzoaia|Nisporeni|47.03306|28.26389
Nisporeni|Nisporeni|47.08139|28.17833
Odaia|Nisporeni|47.00861|28.20028
Odobești|Nisporeni|47.05611|28.07000
Păruceni|Nisporeni|47.15972|28.13000
Seliște|Nisporeni|47.15972|28.13000
Selișteni|Nisporeni|47.06167|28.06944
Soltănești|Nisporeni|47.05944|28.11111
Valea Nîrnovei|Nisporeni|47.16389|28.09556
Valea-Trestieni|Nisporeni|47.07028|28.07250
Vulcănești|Nisporeni|47.15278|28.18972
Vînători|Nisporeni|47.18694|28.10361
Vărzărești|Nisporeni|47.10806|28.19833
Zberoaia|Nisporeni|46.96806|28.10611
Șendreni|Nisporeni|47.12528|28.18722
Șișcani|Nisporeni|46.96917|28.21361
Bucovăț|Strășeni|47.18861|28.45694
Chirianca|Strășeni|47.25556|28.53083
Ciobanca|Strășeni|47.14333|28.50083
Codreanca|Strășeni|47.28111|28.58528
Cojușna|Strășeni|47.09306|28.65833
Căpriana|Strășeni|47.11722|28.50417
Dolna|Strășeni|47.12028|28.27000
Drăgușeni|Strășeni|47.21361|28.67028
Făgureni|Strășeni|47.14889|28.56778
Ghelăuza|Strășeni|47.18944|28.59444
Gornoe|Strășeni|47.18917|28.77778
Greblești|Strășeni|47.24333|28.61194
Gălești|Strășeni|47.22528|28.49111
Găleștii Noi|Strășeni|47.20694|28.49389
Huzun|Strășeni|47.12028|28.31694
Lozova|Strășeni|47.13278|28.38556
Lupa-Recea|Strășeni|47.31250|28.59194
Micleușeni|Strășeni|47.12278|28.30805
Micăuți|Strășeni|47.17222|28.74889
Mărtinești|Strășeni|47.23306|28.60778
Negrești|Strășeni|47.17972|28.62278
Onești|Strășeni|47.27722|28.55417
Pănășești|Strășeni|47.15556|28.51889
Rassvet|Strășeni|47.20472|28.42944
Recea|Strășeni|47.22583|28.58056
Romănești|Strășeni|47.22361|28.71361
Roșcani|Strășeni|47.14722|28.67750
Rădeni|Strășeni|47.20583|28.70056
Saca|Strășeni|47.19389|28.61139
Scoreni|Strășeni|47.06667|28.60722
Sireți|Strășeni|47.14722|28.67750
Stejăreni|Strășeni|47.10806|28.41500
Strășeni|Strășeni|47.14139|28.61028
Tătărești|Strășeni|47.20528|28.53806
Voinova|Strășeni|47.27056|28.48889
Vorniceni|Strășeni|47.15500|28.42417
Zamcioji|Strășeni|47.20361|28.72611
Zubrești|Strășeni|47.24056|28.53417
Țigănești|Strășeni|47.29694|28.55389
Albinița|Anenii Noi|46.89056|29.17389
Anenii Noi|Anenii Noi|46.88167|29.23083
Balmaz|Anenii Noi|46.79833|29.28333
Batîc|Anenii Noi|46.79583|29.19000
Beriozchi|Anenii Noi|46.87333|29.26250
Botnărești|Anenii Noi|46.93472|29.16222
Botnăreștii Noi|Anenii Noi|46.91333|29.14944
Bulboaca|Anenii Noi|46.88472|29.30861
Calfa|Anenii Noi|46.90389|29.37306
Calfa Nouă|Anenii Noi|46.91472|29.35778
Chetrosu|Anenii Noi|46.91500|29.05194
Chirca|Anenii Noi|46.92250|29.11333
Ciobanovca|Anenii Noi|46.81472|29.20361
Cobusca Nouă|Anenii Noi|46.93667|29.20250
Cobusca Veche|Anenii Noi|46.96972|29.18111
Crețoaia|Anenii Noi|46.86750|29.13556
Delacău|Anenii Noi|47.09972|29.30056
Floreni|Anenii Noi|46.93778|28.98861
Florești|Anenii Noi|46.99722|29.17917
Geamăna|Anenii Noi|46.82167|29.13778
Gura Bîcului|Anenii Noi|46.92833|29.45889
Hîrbovăț|Anenii Noi|46.84417|29.35917
Hîrbovățul Nou|Anenii Noi|46.83194|29.27750
Larga|Anenii Noi|46.75917|29.16278
Maximovca|Anenii Noi|47.01306|29.01361
Mereni|Anenii Noi|46.96333|29.05500
Merenii Noi|Anenii Noi|46.92444|29.05694
Mirnoe|Anenii Noi|46.80417|29.22778
Nicolaevca|Anenii Noi|46.77611|29.20778
Ochiul Roș|Anenii Noi|46.76778|29.11194
Picus|Anenii Noi|46.75139|29.09361
Puhăceni|Anenii Noi|47.08944|29.34000
Roșcani|Anenii Noi|46.90250|29.31889
Ruseni|Anenii Noi|46.88528|29.20000
Salcia|Anenii Noi|46.94250|29.16944
Socoleni|Anenii Noi|46.91000|29.19000
Speia|Anenii Noi|47.00889|29.29306
Telița|Anenii Noi|46.95750|29.30194
Telița Nouă|Anenii Noi|46.98056|29.28583
Todirești|Anenii Noi|46.90778|29.09000
Troița Nouă|Anenii Noi|46.78861|29.26250
Varnița|Anenii Noi|46.86139|29.46917
Zolotievca|Anenii Noi|46.73861|29.19000
Șerpeni|Anenii Noi|47.02083|29.34500
Țînțăreni|Anenii Noi|46.90028|29.13944
Abaclia|Basarabeasca|46.36194|28.94194
Basarabeasca|Basarabeasca|46.33361|28.96139
Bașcalia|Basarabeasca|46.30833|28.78444
Bogdanovca|Basarabeasca|46.41389|28.91278
Carabetovca|Basarabeasca|46.51222|28.93417
Carabiber|Basarabeasca|46.47222|28.99556
Iordanovca|Basarabeasca|46.39389|28.90917
Iserlia|Basarabeasca|46.48639|28.95389
Ivanovca|Basarabeasca|46.50639|28.94917
Sadaclia|Basarabeasca|46.44917|28.87861
Albina|Cimișlia|46.70444|28.64194
Artimonovca|Cimișlia|46.59833|28.58917
Batîr|Cimișlia|46.57750|29.00417
Bogdanovca Nouă|Cimișlia|46.49472|28.84167
Bogdanovca Veche|Cimișlia|46.47528|28.82472
Cenac|Cimișlia|46.48333|28.65000
Cimișlia|Cimișlia|46.52000|28.78417
Ciucur-Mingir|Cimișlia|46.44083|28.75583
Codreni|Cimișlia|46.67556|28.88361
Coștangalia|Cimișlia|46.61667|28.80306
Dimitrovca|Cimișlia|46.48472|28.71639
Ecaterinovca|Cimișlia|46.58333|28.75000
Fetița|Cimișlia|46.69333|28.67306
Gradiște|Cimișlia|46.60778|28.75889
Gura Galbenei|Cimișlia|46.69806|28.70583
Hîrtop|Cimișlia|46.65167|28.68833
Ialpug|Cimișlia|46.65056|28.58694
Ialpujeni|Cimișlia|46.70444|28.64194
Iurievca|Cimișlia|46.66833|28.76639
Ivanovca Nouă|Cimișlia|46.74444|28.69361
Javgur|Cimișlia|46.53917|28.61389
Lipoveni|Cimișlia|46.73361|28.75444
Marienfeld|Cimișlia|46.59917|28.61806
Maximeni|Cimișlia|46.57056|28.89528
Mereni|Cimișlia|46.67444|28.64917
Mihailovca|Cimișlia|46.53972|28.92917
Munteni|Cimișlia|46.70056|28.75944
Porumbrei|Cimișlia|46.69194|28.81167
Prisaca|Cimișlia|46.65500|28.60083
Sagaidac|Cimișlia|46.69389|28.84972
Sagaidacul Nou|Cimișlia|46.66111|28.84389
Satul Nou|Cimișlia|46.61556|28.90861
Schinoșica|Cimișlia|46.72750|28.78722
Selemet|Cimișlia|46.58333|28.93333
Suric|Cimișlia|46.62917|28.87361
Topala|Cimișlia|46.46083|28.67500
Troițcoe|Cimișlia|46.51444|29.02833
Valea Perjei|Cimișlia|46.62111|28.72250
Zloți|Cimișlia|46.69500|28.89667
Baccealia|Căușeni|46.68333|29.28333
Baimaclia|Căușeni|46.59083|29.09278
Baurci|Căușeni|46.65806|28.95222
Chircăiești|Căușeni|46.71667|29.51667
Chircăieștii Noi|Căușeni|46.66667|28.96667
Chițcani|Căușeni|46.78556|29.60861
Ciuflești|Căușeni|46.62417|29.00194
Constantinovca|Căușeni|46.72111|29.10944
Copanca|Căușeni|46.71694|29.62056
Coșcalia|Căușeni|46.68556|29.15694
Cremenciug|Căușeni|46.70861|29.67389
Cîrnățeni|Căușeni|46.65444|29.49194
Cîrnățenii Noi|Căușeni|46.64944|29.13500
Căinari|Căușeni|46.67889|29.04611
Căușeni|Căușeni|46.64417|29.41389
Florica|Căușeni|46.69000|29.22222
Fîrlădeni|Căușeni|46.78833|29.36694
Fîrlădenii Noi|Căușeni|46.75250|29.30111
Grigorievca|Căușeni|46.68972|29.32944
Grădinița|Căușeni|46.65306|29.58417
Gîsca|Căușeni|46.78472|29.44639
Hagimus|Căușeni|46.75639|29.47972
Leuntea|Căușeni|46.66278|29.58778
Marianca de Sus|Căușeni|46.64833|29.31194
Merenești|Căușeni|46.77667|29.53778
Opaci|Căușeni|46.57972|29.35000
Pervomaisc|Căușeni|46.70111|29.08917
Plop|Căușeni|46.71083|29.21972
Plop-Știubei|Căușeni|46.67500|29.51444
Surchiceni|Căușeni|46.72222|29.41556
Săiți|Căușeni|46.49667|29.40750
Sălcuța|Căușeni|46.59500|29.24444
Sălcuța Nouă|Căușeni|46.63222|29.19056
Taraclia|Căușeni|46.57028|29.11556
Tocuz|Căușeni|46.52389|29.29611
Tricolici|Căușeni|46.73722|29.23972
Tănătari|Căușeni|46.73667|29.32083
Tănătarii Noi|Căușeni|46.70667|29.37083
Ucrainca|Căușeni|46.43111|29.27278
Ursoaia|Căușeni|46.70583|29.44556
Ursoaia Nouă|Căușeni|46.72694|29.33889
Valea Verde|Căușeni|46.69333|29.58833
Zahorna|Căușeni|46.74306|29.59472
Zaim|Căușeni|46.61944|29.34639
Zviozdocica|Căușeni|46.47972|29.32417
Ștefănești|Căușeni|46.62278|29.05361
Alava|Ștefan Vodă|46.50917|29.56778
Antonești|Ștefan Vodă|46.49611|29.84861
Brezoaia|Ștefan Vodă|46.52083|29.45389
Carahasani|Ștefan Vodă|46.46750|29.81222
Cioburciu|Ștefan Vodă|46.60028|29.70833
Copceac|Ștefan Vodă|46.45028|29.52083
Crocmaz|Ștefan Vodă|46.45194|29.98250
Căplani|Ștefan Vodă|46.38722|29.87139
Ermoclia|Ștefan Vodă|46.58083|29.50972
Feștelița|Ștefan Vodă|46.54444|29.56556
Lazo|Ștefan Vodă|46.48778|29.57639
Marianca de Jos|Ștefan Vodă|46.52056|29.60139
Olănești|Ștefan Vodă|46.49556|29.91806
Palanca|Ștefan Vodă|46.40861|30.09611
Popeasca|Ștefan Vodă|46.60250|29.53694
Purcari|Ștefan Vodă|46.53694|29.86028
Răscăieți|Ștefan Vodă|46.57444|29.77611
Răscăieții Noi|Ștefan Vodă|46.53250|29.77333
Semionovca|Ștefan Vodă|46.51667|29.51222
Slobozia|Ștefan Vodă|46.50806|29.74028
Talmaza|Ștefan Vodă|46.63583|29.66472
Tudora|Ștefan Vodă|46.43500|30.04250
Viișoara|Ștefan Vodă|46.54694|29.82556
Volintiri|Ștefan Vodă|46.42667|29.60583
Ștefan Vodă|Ștefan Vodă|46.51528|29.66306
Ștefănești|Ștefan Vodă|46.44583|29.68778
Avdarma|Găgăuzia|46.25417|28.83944
Baurci|Găgăuzia|46.09389|28.67583
Beșalma|Găgăuzia|46.17278|28.64833
Beșghioz|Găgăuzia|46.12167|28.87222
Bugeac|Găgăuzia|46.36583|28.66333
Carbalia|Găgăuzia|45.87333|28.44583
Cazaclia|Găgăuzia|46.01028|28.66278
Ceadîr-Lunga|Găgăuzia|46.05500|28.83028
Chioselia Rusă|Găgăuzia|46.08333|28.51667
Chiriet-Lunga|Găgăuzia|46.20917|28.94417
Chirsova|Găgăuzia|46.23389|28.64806
Cioc-Maidan|Găgăuzia|46.35806|28.82194
Cișmichioi|Găgăuzia|45.54444|28.38278
Comrat|Găgăuzia|46.30028|28.65722
Congaz|Găgăuzia|46.10917|28.60444
Congazcicul de Jos|Găgăuzia|46.31139|28.57139
Congazcicul de Sus|Găgăuzia|46.33333|28.56639
Copceac|Găgăuzia|45.85000|28.69472
Cotovscoe|Găgăuzia|46.16056|28.51361
Dezghingea|Găgăuzia|46.42444|28.61667
Dudulești|Găgăuzia|46.32750|28.51389
Etulia|Găgăuzia|45.53917|28.44278
Etulia Nouă|Găgăuzia|45.51611|28.43917
Ferapontievca|Găgăuzia|46.24000|28.77444
Gaidar|Găgăuzia|46.10278|28.76500
Joltai|Găgăuzia|46.18250|28.87611
Svetlîi|Găgăuzia|46.01639|28.56611
Tomai|Găgăuzia|46.18167|28.76750
Vulcănești|Găgăuzia|45.68417|28.40278
Alexanderfeld|Cahul|45.80000|28.43333
Alexandru Ioan Cuza|Cahul|45.60000|28.45000
Andrușul de Jos|Cahul|45.98333|28.21667
Andrușul de Sus|Cahul|46.00000|28.25000
Badicul Moldovenesc|Cahul|46.10000|28.25000
Baurci-Moldoveni|Cahul|46.03333|28.23333
Borceag|Cahul|46.05000|28.51667
Brînza|Cahul|45.66667|28.16667
Bucuria|Cahul|45.96667|28.33333
Burlacu|Cahul|46.05000|28.41667
Burlăceni|Cahul|45.75000|28.50000
Cahul|Cahul|45.90750|28.19444
Chioselia Mare|Cahul|46.05000|28.51667
Chircani|Cahul|46.05000|28.18333
Colibași|Cahul|45.73333|28.16667
Cotihana|Cahul|45.93694|28.24222
Crihana Veche|Cahul|45.83333|28.18333
Cucoara|Cahul|46.05000|28.18333
Cîșlița-Prut|Cahul|45.53333|28.16667
Doina|Cahul|46.10000|28.31667
Frumușica|Cahul|46.08333|28.46667
Giurgiulești|Cahul|45.48333|28.20000
Greceni|Cahul|45.75000|28.53333
Găvănoasa|Cahul|45.81667|28.35000
Huluboaia|Cahul|46.05000|28.35000
Hutulu|Cahul|45.85000|28.30000
Iasnaia Poleana|Cahul|46.13333|28.30000
Iujnoe|Cahul|45.75000|28.46667
Larga Nouă|Cahul|46.08333|28.21667
Larga Veche|Cahul|46.06667|28.23333
Lebedenco|Cahul|45.85000|28.28000
Lopățica|Cahul|45.93333|28.40000
Lucești|Cahul|45.98333|28.33333
Manta|Cahul|45.80000|28.16667
Moscovei|Cahul|45.93333|28.35000
Nicolaevca|Cahul|45.75000|28.36667
Paicu|Cahul|46.03333|28.15000
Pașcani|Cahul|45.81667|28.16667
Pelinei|Cahul|45.81667|28.31667
Roșu|Cahul|45.95000|28.20000
Rumeanțev|Cahul|46.11667|28.28333
Slobozia Mare|Cahul|45.56667|28.16667
Spicoasa|Cahul|46.03333|28.36667
Sătuc|Cahul|45.81667|28.35000
Taraclia de Salcie|Cahul|46.00000|28.41667
Tartaul de Salcie|Cahul||
Tretești|Cahul|45.98333|28.16667
Trifeștii Noi|Cahul|45.95000|28.35000
Tudorești|Cahul|45.96667|28.40000
Tătărești|Cahul|46.01667|28.35000
Ursoaia|Cahul|45.85000|28.31667
Vadul lui Isac|Cahul|45.75000|28.16667
Vladimirovca|Cahul|45.78333|28.35000
Văleni|Cahul|45.63333|28.16667
Zîrnești|Cahul|46.00000|28.18333
Acui|Cantemir|46.18667|28.42472
Alexandrovca|Cantemir|46.23000|28.26639
Antonești|Cantemir|46.33778|28.21722
Baimaclia|Cantemir|46.18722|28.38694
Bobocica|Cantemir|46.22472|28.45944
Cania|Cantemir|46.28139|28.22861
Cantemir|Cantemir|46.27806|28.20083
Capaclia|Cantemir|46.33333|28.40000
Chioselia|Cantemir|46.14111|28.40389
Ciobalaccia|Cantemir|46.17444|28.28722
Cociulia|Cantemir|46.35000|28.41667
Constantinești|Cantemir|46.11139|28.21500
Coștangalia|Cantemir|46.11000|28.38722
Crăciun|Cantemir|46.23278|28.35167
Cîietu|Cantemir|46.13528|28.48167
Cîrpești|Cantemir|46.26361|28.33667
Cîșla|Cantemir|46.14194|28.33333
Enichioi|Cantemir|46.22167|28.42000
Flocoasa|Cantemir|46.15278|28.25139
Floricica|Cantemir|46.23444|28.41194
Ghioltosu|Cantemir|46.19167|28.16028
Gotești|Cantemir|46.14778|28.16722
Haragîș|Cantemir|46.28944|28.37833
